ID_Pedido,Data_Pedido,Nome_Produto,Categoria,Preco_Unitario,Quantidade,ID_Cliente,Cidade,Estado,Faturamento,Status_Entrega,Mês
1000,2026-01-01 03:00:00,Gabinete Gamer,Acessórios,565.0,8,134,São Paulo,SP,4520.0,Rápida,2026-01
1001,2026-01-01 12:00:00,Mouse Vertical,Acessórios,244.84,8,102,Fortaleza,CE,1958.72,Normal,2026-01
1002,2026-01-01 06:00:00,Headset 7.1,Acessórios,800.0,1,147,Belo Horizonte,MG,800.0,Rápida,2026-01
1003,2026-01-01 15:00:00,Headset 7.1,Acessórios,800.0,1,124,Salvador,BA,800.0,Normal,2026-01
1004,2026-01-01 16:00:00,Gabinete Gamer,Acessórios,565.0,3,111,Rio de Janeiro,RJ,1695.0,Rápida,2026-01
1005,2026-01-02 15:00:00,Controle Gamer,Hardware,311.24,6,120,Salvador,BA,1867.44,Normal,2026-01
1006,2026-01-02 20:00:00,Controle Gamer,Hardware,312.14,3,114,Porto Alegre,RS,936.42,Normal,2026-01
1007,2026-01-02 14:00:00,Laptop Gamer,Eletrônicos,7500.0,5,113,Salvador,BA,37500.0,Normal,2026-01
1008,2026-01-02 05:00:00,Gabinete Gamer,Acessórios,565.0,1,140,Rio de Janeiro,RJ,565.0,Rápida,2026-01
1009,2026-01-02 18:00:00,Cadeira Gamer,Móveis,1200.0,2,138,Rio de Janeiro,RJ,2400.0,Rápida,2026-01
1010,2026-01-03 14:00:00,Teclado Mecânico,Acessórios,516.1,3,141,Belo Horizonte,MG,1548.3000000000002,Rápida,2026-01
1011,2026-01-03 15:00:00,SSD 1TB,Hardware,600.0,5,102,Salvador,BA,3000.0,Normal,2026-01
1012,2026-01-03 21:00:00,Headset 7.1,Acessórios,800.0,5,120,Porto Alegre,RS,4000.0,Normal,2026-01
1013,2026-01-03 22:00:00,Mouse Vertical,Acessórios,244.09,1,142,Porto Alegre,RS,244.09,Normal,2026-01
1014,2026-01-03 09:00:00,Controle Gamer,Hardware,306.91,3,145,Rio de Janeiro,RJ,920.73,Rápida,2026-01
1015,2026-01-04 21:00:00,Placa de Vídeo,Hardware,4500.0,5,133,Curitiba,PR,22500.0,Normal,2026-01
1016,2026-01-04 06:00:00,Monitor Ultrawide,Eletrônicos,2800.0,4,119,Porto Alegre,RS,11200.0,Normal,2026-01
1017,2026-01-04 19:00:00,Mouse Vertical,Acessórios,238.17,8,139,Rio de Janeiro,RJ,1905.36,Rápida,2026-01
